subject,hemi,mask,annotated_feature,correlation
sub-07,left,MT,arousal,0.011202065913748348
sub-07,left,MT,pitch,-0.006613800886602581
sub-07,left,MT,amplitude,-0.004866804657235706
sub-07,left,MT,music,0.015416511000347922
sub-07,left,MT,speaking,0.005572892975688873
sub-07,left,MT,turn_taking,0.013697589603505825
sub-07,left,MT,mentalization,0.012746842566829996
sub-07,left,MT,written_text,0.005670692653039583
sub-07,right,MT,pixel,-0.031225392984005094
sub-07,right,MT,hue,0.010015520599512218
sub-07,right,MT,face,0.003352977282097434
sub-07,right,MT,num_agents,0.01422364422576044
sub-07,right,MT,social,0.0010592124967782938
sub-07,right,MT,valence,0.02475175061910379
sub-07,right,MT,arousal,0.002040324518330592
sub-07,right,MT,pitch,0.008692791280644178
sub-07,right,MT,amplitude,0.005456756086634885
sub-07,right,MT,music,0.015596177180608854
sub-07,right,MT,speaking,-0.003042724975919271
sub-07,right,MT,turn_taking,0.008276775758619898
sub-07,right,MT,mentalization,0.0063570859123165315
sub-07,right,MT,written_text,-0.013136961627571945
sub-07,left,STS,pixel,0.012273641169507153
sub-07,left,STS,hue,-0.02986639420788905
sub-07,left,STS,face,-0.0033481366353329536
sub-07,left,STS,num_agents,-0.007519339114442532
sub-07,left,STS,social,-8.269433433549355e-05
sub-07,left,STS,valence,0.028107830514140522
sub-07,left,STS,arousal,0.0035094750463932492
sub-07,left,STS,pitch,-0.0027663228912539477
sub-07,left,STS,amplitude,-0.004528551256170478
sub-07,left,STS,music,-0.030494819299509042
sub-07,left,STS,speaking,0.011176397278178481
sub-07,left,STS,turn_taking,0.011775170623803746
sub-07,left,STS,mentalization,0.002948874279646662
sub-07,left,STS,written_text,0.0023052535465820103
sub-07,right,STS,pixel,-0.001112643055080211
sub-07,right,STS,hue,-0.0026549840384297377
sub-07,right,STS,face,0.008760650531014689
sub-07,right,STS,num_agents,-0.0021787983314591384
sub-07,right,STS,social,0.007858644669317048
sub-07,right,STS,valence,0.0395829152771267
sub-07,right,STS,arousal,-0.004640375984181236
sub-07,right,STS,pitch,-0.005560958391920067
sub-07,right,STS,amplitude,-0.015734018929488034
sub-07,right,STS,music,-0.008377402445428776
sub-07,right,STS,speaking,0.016006438690567913
sub-07,right,STS,turn_taking,0.018085316776207283
sub-07,right,STS,mentalization,-0.004610023684726245
sub-07,right,STS,written_text,1.593914949421423e-05
sub-08,left,MT,pixel,0.019536128248594343
sub-08,left,MT,hue,0.0017819064285814657
sub-08,left,MT,face,-0.01783093591134775
sub-08,left,MT,num_agents,-0.005450783740436984
sub-08,left,MT,social,-0.014310427384889588
