,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),1.145,0.976,1.314,0.086,30.657,13.275,0.0,***
roi_typesocial,-0.699,-0.811,-0.586,0.058,171.264,-12.149,0.0,***
