subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,cross-subject encoding (MT+STS+language),cross-subject encoding (ISC),num_voxels,proportion_voxels,averaged_localizer_runs,averaged_response_runs
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,0.2956509368472922,0.06481948479385806,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.5025386388265708,0.08194054401661195,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.7978072703333131,0.06481948479385806,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,0.4145145474907304,0.08194054401661195,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.4338151118239768,-0.12212812450855036,0.07664935717164448,0.5170431005946252,0.49596441181806417,13.333333333333334,0.10666666666666667,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.01493456865774484,-0.19425452780023234,0.037636793360988484,0.5335792818721646,0.5337391250675444,111.66666666666667,0.8933333333333334,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.4578524126067672,-0.12212812450855036,0.07664935717164448,0.5170431005946252,0.49596441181806417,13.333333333333334,0.10666666666666667,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,1.101390730155901,-0.19425452780023234,0.037636793360988484,0.5335792818721646,0.5337391250675444,111.66666666666667,0.8933333333333334,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.040429794386623426,0.1098364456427014,0.06730857785468568,0.6497008286957812,0.6294242011805057,37.0,0.29600000000000004,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,0.16085786914491831,-0.04209145039520243,0.0432402108778688,0.5483828325978384,0.5324996151048841,88.0,0.7040000000000001,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.28474562425252853,0.1098364456427014,0.06730857785468568,0.6497008286957812,0.6294242011805057,37.0,0.29600000000000004,"12,23,13","3,1,2"
sub-07,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,0.6197698141366577,-0.04209145039520243,0.0432402108778688,0.5483828325978384,0.5324996151048841,88.0,0.7040000000000001,"12,23,13","3,1,2"
sub-08,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.00498225370809761,0.14104592052445372,0.11279910492811414,0.523104240290906,0.5219239022742813,35.666666666666664,0.2853333333333334,"12,23,13","3,1,2"
sub-08,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.1524332677766235,0.10465933369549026,0.0603305095674472,0.48454452287727934,0.47479447494706006,89.33333333333333,0.7146666666666667,"12,23,13","3,1,2"
sub-08,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.11251108045560898,0.14104592052445372,0.11279910492811414,0.523104240290906,0.5219239022742813,35.666666666666664,0.2853333333333334,"12,23,13","3,1,2"
sub-08,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,0.14329099597277972,0.10465933369549026,0.0603305095674472,0.48454452287727934,0.47479447494706006,89.33333333333333,0.7146666666666667,"12,23,13","3,1,2"
sub-09,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.18808826817556865,0.09481022987553946,0.05972750867138934,0.516628735361147,0.5039016397528032,35.0,0.28,"12,23,13","3,1,2"
sub-09,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.15184771409162576,0.06482990798370815,0.059726915205140445,0.4703378759904208,0.45118094005734927,90.0,0.7200000000000001,"12,23,13","3,1,2"
