,subject,annotated_feature,region,method,score
107,sub-08,turn taking,STS,cca,0.022267535774715474
108,sub-08,mentalization,MT,cca,0.05468126969725127
109,sub-08,mentalization,STS,cca,0.03850254419673158
110,sub-08,written text,MT,cca,0.06168439604805638
111,sub-08,written text,STS,cca,-0.029173887656873766
112,sub-09,pixel,MT,cca,0.04751066418106442
113,sub-09,pixel,STS,cca,0.06074698074330387
114,sub-09,hue,MT,cca,-0.026008473126843623
115,sub-09,hue,STS,cca,0.03884375517800827
116,sub-09,face,MT,cca,-0.05904747359725195
117,sub-09,face,STS,cca,-0.035628885254984685
118,sub-09,number of agents,MT,cca,0.04007749253353014
119,sub-09,number of agents,STS,cca,0.07061356098439395
120,sub-09,social,MT,cca,-0.061884942409370015
121,sub-09,social,STS,cca,0.07105737196190579
122,sub-09,valence,MT,cca,0.035288899789007025
123,sub-09,valence,STS,cca,0.22427822493238417
124,sub-09,arousal,MT,cca,0.056802076159068404
125,sub-09,arousal,STS,cca,0.016093291035168034
126,sub-09,pitch,MT,cca,0.006765093511968123
127,sub-09,pitch,STS,cca,0.06702833493613818
128,sub-09,amplitude,MT,cca,-0.006238315617507273
129,sub-09,amplitude,STS,cca,-0.019537686795913035
130,sub-09,music,MT,cca,-0.01694678549560715
131,sub-09,music,STS,cca,0.10596199324068992
132,sub-09,speaking,MT,cca,-0.004940155788989142
133,sub-09,speaking,STS,cca,0.1336178357613595
134,sub-09,turn taking,MT,cca,-0.05794432630798931
135,sub-09,turn taking,STS,cca,0.06712700225587787
136,sub-09,mentalization,MT,cca,0.042244459396151866
137,sub-09,mentalization,STS,cca,0.05907922097488179
138,sub-09,written text,MT,cca,0.04437039167399344
139,sub-09,written text,STS,cca,-0.004644000640337276
140,sub-10,pixel,MT,cca,-0.02510111173356764
141,sub-10,pixel,STS,cca,0.05575662190038795
142,sub-10,hue,MT,cca,0.06671537144722431
143,sub-10,hue,STS,cca,0.03378776480672028
144,sub-10,face,MT,cca,0.04087894339706812
145,sub-10,face,STS,cca,0.08819056474112115
146,sub-10,number of agents,MT,cca,0.06174502350975257
147,sub-10,number of agents,STS,cca,-0.008968845075772757
148,sub-10,social,MT,cca,-0.0396099542907844
149,sub-10,social,STS,cca,0.10366929314690072
150,sub-10,valence,MT,cca,0.0037068277886084912
151,sub-10,valence,STS,cca,-0.05126575905762669
152,sub-10,arousal,MT,cca,-0.02559099297306384
153,sub-10,arousal,STS,cca,0.09799261136516527
154,sub-10,pitch,MT,cca,0.026677463118371537
155,sub-10,pitch,STS,cca,-0.08266181051524397
156,sub-10,amplitude,MT,cca,-0.02885975307230455
157,sub-10,amplitude,STS,cca,-0.03641651865934057
158,sub-10,music,MT,cca,-0.05844936389052584
159,sub-10,music,STS,cca,0.08241132459265348
160,sub-10,speaking,MT,cca,-0.00743445183285032
161,sub-10,speaking,STS,cca,0.09247411842686457
162,sub-10,turn taking,MT,cca,-0.02118748561316395
163,sub-10,turn taking,STS,cca,0.041917676867995836
164,sub-10,mentalization,MT,cca,0.06407251510362073
165,sub-10,mentalization,STS,cca,0.04722684692315675
166,sub-10,written text,MT,cca,-0.04829670356022777
167,sub-10,written text,STS,cca,0.025094947850167082
168,sub-14,pixel,MT,cca,0.1334150486866604
169,sub-14,pixel,STS,cca,0.06045367476064154
170,sub-14,hue,MT,cca,-0.04280649550327718
171,sub-14,hue,STS,cca,0.038890977752585806
172,sub-14,face,MT,cca,0.04041136102477631
173,sub-14,face,STS,cca,0.04119517274457278
174,sub-14,number of agents,MT,cca,0.015347818447408023
175,sub-14,number of agents,STS,cca,-0.012472211522247135
176,sub-14,social,MT,cca,0.05932009864627843
177,sub-14,social,STS,cca,0.025964497268749432
178,sub-14,valence,MT,cca,0.0965913488692816
179,sub-14,valence,STS,cca,0.030334922167644017
180,sub-14,arousal,MT,cca,-0.08216331892035271
181,sub-14,arousal,STS,cca,-0.06018330194112853
182,sub-14,pitch,MT,cca,0.07164512336041584
183,sub-14,pitch,STS,cca,0.05844427659901674
184,sub-14,amplitude,MT,cca,-0.06427229088568454
185,sub-14,amplitude,STS,cca,0.020986772074718864
186,sub-14,music,MT,cca,-0.03501648979915686
187,sub-14,music,STS,cca,0.014559797867276413
188,sub-14,speaking,MT,cca,-0.03627730649162
189,sub-14,speaking,STS,cca,0.01982505648767998
190,sub-14,turn taking,MT,cca,0.027583362729955697
191,sub-14,turn taking,STS,cca,0.03272178070338625
192,sub-14,mentalization,MT,cca,0.05519510519433459
193,sub-14,mentalization,STS,cca,-0.06563562358651298
194,sub-14,written text,MT,cca,0.037448348477413206
195,sub-14,written text,STS,cca,-0.046896064014229896
196,sub-15,pixel,MT,cca,0.12804892655137395
197,sub-15,pixel,STS,cca,0.05020312909177087
198,sub-15,hue,MT,cca,0.12099922846214724
199,sub-15,hue,STS,cca,0.07947089845029595
200,sub-15,face,MT,cca,0.039744797000650325
201,sub-15,face,STS,cca,0.028974203054604342
202,sub-15,number of agents,MT,cca,-0.01621478674658312
203,sub-15,number of agents,STS,cca,0.001765236178415308
204,sub-15,social,MT,cca,0.06725231928257117
205,sub-15,social,STS,cca,0.05226680172234803
206,sub-15,valence,MT,cca,0.12044022244982103
207,sub-15,valence,STS,cca,0.15421082816100803
208,sub-15,arousal,MT,cca,-0.06499319566582647
209,sub-15,arousal,STS,cca,-0.12950521586261493
210,sub-15,pitch,MT,cca,0.06153859394863139
211,sub-15,pitch,STS,cca,-0.03439610679097407
212,sub-15,amplitude,MT,cca,-0.03190238536864343
213,sub-15,amplitude,STS,cca,-0.024169836506619545
214,sub-15,music,MT,cca,0.1321727840830375
215,sub-15,music,STS,cca,0.06918467753237856
216,sub-15,speaking,MT,cca,-0.00015188481495622685
217,sub-15,speaking,STS,cca,0.0188604366190805
218,sub-15,turn taking,MT,cca,0.014657398623184336
219,sub-15,turn taking,STS,cca,-0.04215851801820338
220,sub-15,mentalization,MT,cca,0.023653472529441322
221,sub-15,mentalization,STS,cca,-0.004760764455022692
222,sub-15,written text,MT,cca,0.044524407287983105
223,sub-15,written text,STS,cca,0.018334712659482832
224,sub-16,pixel,MT,cca,0.1334150486866604
225,sub-16,pixel,STS,cca,-0.04553593303798935
226,sub-16,hue,MT,cca,-0.04280649550327718
227,sub-16,hue,STS,cca,0.1378904052602241
228,sub-16,face,MT,cca,0.04041136102477631
229,sub-16,face,STS,cca,0.08063547260449702
230,sub-16,number of agents,MT,cca,0.015347818447408023
231,sub-16,number of agents,STS,cca,0.08490526576824561
232,sub-16,social,MT,cca,0.05932009864627843
233,sub-16,social,STS,cca,-0.07097254125458423
234,sub-16,valence,MT,cca,0.0965913488692816
235,sub-16,valence,STS,cca,0.12132760976154629
236,sub-16,arousal,MT,cca,-0.08216331892035271
237,sub-16,arousal,STS,cca,-0.055956208355352886
238,sub-16,pitch,MT,cca,0.07164512336041584
239,sub-16,pitch,STS,cca,-0.061644327045516166
240,sub-16,amplitude,MT,cca,-0.06427229088568454
241,sub-16,amplitude,STS,cca,-0.07694853629649623
242,sub-16,music,MT,cca,-0.03501648979915686
243,sub-16,music,STS,cca,0.037926812844410775
244,sub-16,speaking,MT,cca,-0.03627730649162
245,sub-16,speaking,STS,cca,-0.020850432637412465
246,sub-16,turn taking,MT,cca,0.027583362729955697
247,sub-16,turn taking,STS,cca,-0.03368921759846919
248,sub-16,mentalization,MT,cca,0.05519510519433459
249,sub-16,mentalization,STS,cca,0.022419383489779166
250,sub-16,written text,MT,cca,0.037448348477413206
251,sub-16,written text,STS,cca,-0.06649935168389409
252,sub-19,pixel,MT,cca,0.1334150486866604
253,sub-19,pixel,STS,cca,0.08367090469286911
254,sub-19,pixel,temporal,cca,0.07798182457678778
255,sub-19,pixel,frontal,cca,-0.06677732569186472
256,sub-19,hue,MT,cca,-0.04280649550327718
257,sub-19,hue,STS,cca,0.036369441712831116
258,sub-19,hue,temporal,cca,0.0805039129224256
259,sub-19,hue,frontal,cca,0.10933550396360156
260,sub-19,face,MT,cca,0.04041136102477631
261,sub-19,face,STS,cca,0.009376353332057597
262,sub-19,face,temporal,cca,0.08205200173480383
263,sub-19,face,frontal,cca,0.01780498854907142
264,sub-19,number of agents,MT,cca,0.015347818447408023
265,sub-19,number of agents,STS,cca,0.07063810714937868
266,sub-19,number of agents,temporal,cca,0.045107405908223666
267,sub-19,number of agents,frontal,cca,0.05074976682655637
268,sub-19,social,MT,cca,0.05932009864627843
269,sub-19,social,STS,cca,0.015356698229817157
270,sub-19,social,temporal,cca,0.04263602662189221
271,sub-19,social,frontal,cca,0.05266569323883448
272,sub-19,valence,MT,cca,0.0965913488692816
273,sub-19,valence,STS,cca,0.16729889252406177
274,sub-19,valence,temporal,cca,0.16503699254371634
275,sub-19,valence,frontal,cca,0.11847209130077077
276,sub-19,arousal,MT,cca,-0.08216331892035271
277,sub-19,arousal,STS,cca,-0.011800095953409962
278,sub-19,arousal,temporal,cca,-0.13773400200664265
279,sub-19,arousal,frontal,cca,-0.07394574222438763
280,sub-19,pitch,MT,cca,0.07164512336041584
281,sub-19,pitch,STS,cca,0.039742356817451974
282,sub-19,pitch,temporal,cca,-0.00634858346155105
283,sub-19,pitch,frontal,cca,-0.008996809215286672
284,sub-19,amplitude,MT,cca,-0.06427229088568454
285,sub-19,amplitude,STS,cca,-0.015950282040675258
286,sub-19,amplitude,temporal,cca,0.01695726364272616
287,sub-19,amplitude,frontal,cca,-0.008454302202987507
288,sub-19,music,MT,cca,-0.03501648979915686
289,sub-19,music,STS,cca,0.04172726590323243
290,sub-19,music,temporal,cca,0.044235003228154525
291,sub-19,music,frontal,cca,-0.006190763679985567
292,sub-19,speaking,MT,cca,-0.03627730649162
293,sub-19,speaking,STS,cca,0.0019484786679242472
294,sub-19,speaking,temporal,cca,-0.003918466030528411
295,sub-19,speaking,frontal,cca,0.06881421443521077
296,sub-19,turn taking,MT,cca,0.027583362729955697
297,sub-19,turn taking,STS,cca,-0.025547521448330213
298,sub-19,turn taking,temporal,cca,0.046062368187820904
299,sub-19,turn taking,frontal,cca,0.063413987256149
300,sub-19,mentalization,MT,cca,0.05519510519433459
301,sub-19,mentalization,STS,cca,0.07649500045336714
302,sub-19,mentalization,temporal,cca,-0.025002934304119085
303,sub-19,mentalization,frontal,cca,0.03253100468510448
304,sub-19,written text,MT,cca,0.037448348477413206
305,sub-19,written text,STS,cca,-0.06418997269480893
306,sub-19,written text,temporal,cca,0.06482371004440593
307,sub-19,written text,frontal,cca,0.05163864245579133
308,sub-23,pixel,MT,cca,0.1334150486866604
309,sub-23,pixel,STS,cca,0.1585193915426649
310,sub-23,pixel,temporal,cca,-0.028902661121032725
311,sub-23,pixel,frontal,cca,0.14007875116525365
312,sub-23,hue,MT,cca,-0.04280649550327718
313,sub-23,hue,STS,cca,0.01153752481985646
314,sub-23,hue,temporal,cca,0.012427841612542711
315,sub-23,hue,frontal,cca,-0.00013300153583479802
316,sub-23,face,MT,cca,0.04041136102477631
317,sub-23,face,STS,cca,0.18377242286598952
318,sub-23,face,temporal,cca,0.06032988138384798
319,sub-23,face,frontal,cca,0.17353218626340575
320,sub-23,number of agents,MT,cca,0.015347818447408023
321,sub-23,number of agents,STS,cca,-0.03572106161493562
322,sub-23,number of agents,temporal,cca,-0.030133583928984752
323,sub-23,number of agents,frontal,cca,0.02814501706810808
324,sub-23,social,MT,cca,0.05932009864627843
325,sub-23,social,STS,cca,0.11778041921706346
326,sub-23,social,temporal,cca,0.08834210034836606
327,sub-23,social,frontal,cca,0.14513169921187133
328,sub-23,valence,MT,cca,0.0965913488692816
