,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.131,0.062,0.2,0.035,44.877,3.711,0.001,***
roi_typesocial,0.143,0.095,0.191,0.025,83.807,5.783,0.0,***
