,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),1.143,0.97,1.315,0.088,32.738,12.99,0.0,***
roi_typesocial,-0.697,-0.827,-0.566,0.067,73.164,-10.45,0.0,***
