,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.132,0.067,0.197,0.033,37.286,3.989,0.0,***
roi_typesocial,0.142,0.106,0.178,0.019,250.11,7.662,0.0,***
