,subject,name1,name2,names,name1_measure,name2_measure,name1_model,name2_model,mask1,mask2,hemi,total_voxels1,total_voxels2,total_voxels,voxels1_only,voxels2_only,voxels_overlap,DICE_coef,proportion_of_voxels1_in_this_hemi,proportion_of_voxels2_in_this_hemi,proportion_of_all_voxels_in_this_hemi,proportion_of_overlap_in_this_hemi,proportion_of_1_that_is_also_2,proportion_of_2_that_is_also_1,proportion_of_voxels_that_is_voxels1,proportion_of_voxels_that_is_voxels2,proportion_of_voxels_that_is_overlap
241,sub-54,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,pSTS,pSTS,left,136,136,272,0,0,136,1.0,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.4533333333333333,1.0,1.0,0.0,0.0,0.5
242,sub-54,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,pSTS,pSTS,right,164,164,328,0,0,164,1.0,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,1.0,1.0,0.0,0.0,0.5
243,sub-55,intact-degraded,intact-degraded,intact-degraded-language_intact-degraded-language,language,language,glm,glm,pSTS,pSTS,all,300,300,600,0,0,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
244,sub-55,intact-degraded,intact-degraded,intact-degraded-language_intact-degraded-language,language,language,glm,glm,pSTS,pSTS,left,235,235,470,0,0,235,1.0,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,1.0,1.0,0.0,0.0,0.5
245,sub-55,intact-degraded,intact-degraded,intact-degraded-language_intact-degraded-language,language,language,glm,glm,pSTS,pSTS,right,65,65,130,0,0,65,1.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,1.0,1.0,0.0,0.0,0.5
246,sub-55,intact-degraded,interact-no_interact,intact-degraded-language_interact-no_interact-SIpointlights,language,SIpointlights,glm,glm,pSTS,pSTS,all,300,300,600,273,273,27,0.09,1.0,1.0,1.0,1.0,0.09,0.09,0.455,0.455,0.045
247,sub-55,intact-degraded,interact-no_interact,intact-degraded-language_interact-no_interact-SIpointlights,language,SIpointlights,glm,glm,pSTS,pSTS,left,235,181,416,210,156,25,0.1201923076923077,0.7833333333333333,0.6033333333333334,0.6933333333333334,0.9259259259259259,0.10638297872340426,0.13812154696132597,0.5048076923076923,0.375,0.06009615384615385
248,sub-55,intact-degraded,interact-no_interact,intact-degraded-language_interact-no_interact-SIpointlights,language,SIpointlights,glm,glm,pSTS,pSTS,right,65,119,184,63,117,2,0.021739130434782608,0.21666666666666667,0.39666666666666667,0.30666666666666664,0.07407407407407407,0.03076923076923077,0.01680672268907563,0.3423913043478261,0.6358695652173914,0.010869565217391304
249,sub-55,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,pSTS,pSTS,all,300,300,600,0,0,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
250,sub-55,interact-no_interact,interact-no_interact,interact-no_interact-SIpointlights_interact-no_interact-SIpointlights,SIpointlights,SIpointlights,glm,glm,pSTS,pSTS,left,181,181,362,0,0,181,1.0,0.6033333333333334,0.6033333333333334,0.6033333333333334,0.6033333333333334,1.0,1.0,0.0,0.0,0.5
