subject,annotated_feature,region,method,score
sub-09,face,MT,cca,-0.058969916566772154
sub-09,face,STS,cca,-0.0353995506218598
sub-09,number of agents,MT,cca,0.04007749253353017
sub-09,number of agents,STS,cca,0.07069177464004053
sub-09,social,MT,cca,-0.061309336491401356
sub-09,social,STS,cca,0.07084040227066038
sub-09,valence,MT,cca,0.035264101076247244
sub-09,valence,STS,cca,0.22415213162658465
sub-09,arousal,MT,cca,0.05702972391303403
sub-09,arousal,STS,cca,0.015951599826986775
sub-09,pitch,MT,cca,0.007737335433270464
sub-09,pitch,STS,cca,0.06804379093353079
sub-09,amplitude,MT,cca,-0.00768293075704467
sub-09,amplitude,STS,cca,-0.019493697824395584
sub-09,music,MT,cca,-0.01667636143500517
sub-09,music,STS,cca,0.10669593927695127
sub-09,speaking,MT,cca,-0.005206319389436431
sub-09,speaking,STS,cca,0.1336530598235509
sub-09,turn taking,MT,cca,-0.05794432630798916
sub-09,turn taking,STS,cca,0.06744000065104201
sub-09,mentalization,MT,cca,0.04150995485756348
sub-09,mentalization,STS,cca,0.05958320742713867
sub-09,written text,MT,cca,0.04297429816028864
sub-09,written text,STS,cca,-0.004654681439123509
sub-10,pixel,MT,cca,-0.024861847924191372
sub-10,pixel,STS,cca,0.055756621900388034
sub-10,hue,MT,cca,0.06672851045965893
sub-10,hue,STS,cca,0.0337877648067201
sub-10,face,MT,cca,0.04087386043033301
sub-10,face,STS,cca,0.08819056474112123
sub-10,number of agents,MT,cca,0.061574844434019615
sub-10,number of agents,STS,cca,-0.008968845075772624
sub-10,social,MT,cca,-0.039316505392408184
sub-10,social,STS,cca,0.10366929314690065
sub-10,valence,MT,cca,0.003724004467249631
sub-10,valence,STS,cca,-0.05126575905762665
sub-10,arousal,MT,cca,-0.024538241538154936
sub-10,arousal,STS,cca,0.09799261136516538
sub-10,pitch,MT,cca,0.026985705214275013
sub-10,pitch,STS,cca,-0.0826618105152441
sub-10,amplitude,MT,cca,-0.0292542795657345
sub-10,amplitude,STS,cca,-0.03641651865934068
sub-10,music,MT,cca,-0.05840016524532665
sub-10,music,STS,cca,0.08241132459265366
sub-10,speaking,MT,cca,-0.007034370411723856
sub-10,speaking,STS,cca,0.09247411842686486
sub-10,turn taking,MT,cca,-0.01993454354400801
sub-10,turn taking,STS,cca,0.0419176768679961
sub-10,mentalization,MT,cca,0.06403570279055618
sub-10,mentalization,STS,cca,0.047226846923156665
sub-10,written text,MT,cca,-0.04845186661156577
sub-10,written text,STS,cca,0.025094947850167148
sub-14,pixel,MT,cca,0.13341504868666046
sub-14,pixel,STS,cca,0.06095364574590421
sub-14,hue,MT,cca,-0.04280649550327727
sub-14,hue,STS,cca,0.0387600232628265
sub-14,face,MT,cca,0.04041136102477616
sub-14,face,STS,cca,0.04128532160394096
sub-14,number of agents,MT,cca,0.015347818447407558
sub-14,number of agents,STS,cca,-0.012186512193419041
sub-14,social,MT,cca,0.05932009864627863
sub-14,social,STS,cca,0.02593534650376761
sub-14,valence,MT,cca,0.09659134886928164
sub-14,valence,STS,cca,0.03115942194553689
sub-14,arousal,MT,cca,-0.08216331892035225
sub-14,arousal,STS,cca,-0.05980821450239304
sub-14,pitch,MT,cca,0.07164512336041592
sub-14,pitch,STS,cca,0.05824810304826884
sub-14,amplitude,MT,cca,-0.06427229088568458
sub-14,amplitude,STS,cca,0.021120304711041805
sub-14,music,MT,cca,-0.03501648979915637
sub-14,music,STS,cca,0.01527247799929472
sub-14,speaking,MT,cca,-0.03627730649162027
sub-14,speaking,STS,cca,0.019485416616189834
sub-14,turn taking,MT,cca,0.02758336272995563
sub-14,turn taking,STS,cca,0.033525111415710705
sub-14,mentalization,MT,cca,0.05519510519433415
sub-14,mentalization,STS,cca,-0.06581003034034572
sub-14,written text,MT,cca,0.03744834847741305
sub-14,written text,STS,cca,-0.04682858413930482
sub-15,pixel,MT,cca,0.12804892655137393
sub-15,pixel,STS,cca,0.05042624555179347
sub-15,hue,MT,cca,0.1209992284621471
sub-15,hue,STS,cca,0.07946852724278228
sub-15,face,MT,cca,0.039744797000649944
sub-15,face,STS,cca,0.028961610840112506
sub-15,number of agents,MT,cca,-0.015305311654141729
sub-15,number of agents,STS,cca,0.0019338335982528765
sub-15,social,MT,cca,0.06725231928257122
sub-15,social,STS,cca,0.051658194764513145
sub-15,valence,MT,cca,0.12044022244982125
sub-15,valence,STS,cca,0.15421082816100817
sub-15,arousal,MT,cca,-0.06729578342968297
sub-15,arousal,STS,cca,-0.12944063086326357
sub-15,pitch,MT,cca,0.06673414270360371
sub-15,pitch,STS,cca,-0.03439610679097418
sub-15,amplitude,MT,cca,-0.03396294312900609
sub-15,amplitude,STS,cca,-0.024100690969146264
sub-15,music,MT,cca,0.13266370458243193
sub-15,music,STS,cca,0.06918467753237859
sub-15,speaking,MT,cca,0.0028665391161162733
sub-15,speaking,STS,cca,0.01901020547218919
sub-15,turn taking,MT,cca,0.015329342507260969
sub-15,turn taking,STS,cca,-0.042239786509435696
sub-15,mentalization,MT,cca,0.029186965106003805
sub-15,mentalization,STS,cca,-0.004657752568741369
sub-15,written text,MT,cca,0.044524407287983105
sub-15,written text,STS,cca,0.0185585259377663
sub-16,pixel,MT,cca,0.13341504868666046
sub-16,pixel,STS,cca,-0.03103097602448417
sub-16,hue,MT,cca,-0.04280649550327727
sub-16,hue,STS,cca,0.13697960074512072
sub-16,face,MT,cca,0.04041136102477616
sub-16,face,STS,cca,0.08063547260449547
sub-16,number of agents,MT,cca,0.015347818447407558
sub-16,number of agents,STS,cca,0.08490526576824556
sub-16,social,MT,cca,0.05932009864627863
sub-16,social,STS,cca,-0.06826977871832582
sub-16,valence,MT,cca,0.09659134886928164
sub-16,valence,STS,cca,0.12541418558522438
sub-16,arousal,MT,cca,-0.08216331892035225
sub-16,arousal,STS,cca,-0.0563571308086966
sub-16,pitch,MT,cca,0.07164512336041592
sub-16,pitch,STS,cca,-0.061232130433646836
sub-16,amplitude,MT,cca,-0.06427229088568458
sub-16,amplitude,STS,cca,-0.07667062382376415
sub-16,music,MT,cca,-0.03501648979915637
sub-16,music,STS,cca,0.04232325649620829
sub-16,speaking,MT,cca,-0.03627730649162027
sub-16,speaking,STS,cca,-0.01742896312936426
