,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.129,0.066,0.192,0.032,35.546,4.01,0.0,***
roi_typesocial,0.145,0.105,0.185,0.021,132.042,7.067,0.0,***
