,index,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,region
0,(Intercept),0.085,0.024,0.145,0.031,33.01,2.754,0.009,**,right MT
1,(Intercept),0.119,0.048,0.191,0.036,33.019,3.282,0.002,**,right pSTS
2,(Intercept),0.189,0.137,0.241,0.026,32.99,7.149,0.0,***,right aSTS
3,(Intercept),-0.269,-0.346,-0.193,0.039,24.0,-6.928,0.0,***,right pTemp
4,(Intercept),-0.127,-0.224,-0.03,0.049,24.0,-2.557,0.017,*,right aTemp
