index,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,hemisphere
(Intercept),0.461,0.405,0.517,0.029,84.339,16.138,0.0,***,both
super_pairMT__frontal,-0.185,-0.263,-0.107,0.04,322.653,-4.663,0.0,***,both
super_pairMT__temporal,-0.204,-0.267,-0.141,0.032,328.478,-6.351,0.0,***,both
super_pairSTS__frontal,0.065,0.002,0.128,0.032,328.478,2.026,0.044,*,both
super_pairSTS__temporal,0.118,0.064,0.171,0.027,333.051,4.284,0.0,***,both
super_pairfrontal__temporal,0.189,0.126,0.252,0.032,328.478,5.899,0.0,***,both
