,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.939,0.777,1.101,0.083,28.306,11.358,0.0,***
roi_typesocial,-0.493,-0.606,-0.38,0.058,220.072,-8.565,0.0,***
