subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,cross-subject encoding (MT+STS+language),cross-subject encoding (ISC),num_voxels,proportion_voxels,averaged_localizer_runs,averaged_response_runs
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang_transformers,SimCLR,5.754571036605633,0.17311715226038205,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang_transformers,language_transformers,5.754571036605633,0.014689269364729104,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang_transformers,SimCLR,3.1653112868064657,0.14892880182381324,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang_transformers,language_transformers,3.1653112868064657,0.025015955925112087,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang_transformers,SimCLR,4.852431844157704,0.17311715226038205,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang_transformers,language_transformers,4.852431844157704,0.014689269364729104,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,right,MT,vislang_transformers,SimCLR,2.8184320381079533,0.14892880182381324,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,right,MT,vislang_transformers,language_transformers,2.8184320381079533,0.025015955925112087,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,pSTS,vislang_transformers,SimCLR,-0.10366052302387312,0.1719022864529478,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,pSTS,vislang_transformers,language_transformers,-0.10366052302387312,0.02202213838533827,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,vislang_transformers,SimCLR,0.2956509368472922,0.15039167347423965,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,vislang_transformers,language_transformers,0.2956509368472922,0.06089952585053299,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,pSTS,vislang_transformers,SimCLR,0.0755847831292956,0.20373021991435822,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,pSTS,vislang_transformers,language_transformers,0.0755847831292956,0.025048974988898156,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,vislang_transformers,SimCLR,-0.5025386388265708,0.2049484010989623,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,vislang_transformers,language_transformers,-0.5025386388265708,0.04179980095037955,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,pSTS,vislang_transformers,SimCLR,0.38712547156793525,0.1719022864529478,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,pSTS,vislang_transformers,language_transformers,0.38712547156793525,0.02202213838533827,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,vislang_transformers,SimCLR,0.7978072703333131,0.15039167347423965,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,vislang_transformers,language_transformers,0.7978072703333131,0.06089952585053299,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,pSTS,vislang_transformers,SimCLR,0.5150566451693585,0.20373021991435822,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,pSTS,vislang_transformers,language_transformers,0.5150566451693585,0.025048974988898156,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,vislang_transformers,SimCLR,0.4145145474907304,0.2049484010989623,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,vislang_transformers,language_transformers,0.4145145474907304,0.04179980095037955,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang_transformers,SimCLR,2.501195267802514,0.29728125545193534,0.08834557459170328,0.654812419483828,0.6054936603067843,50.333333333333336,0.2926356589147287,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang_transformers,language_transformers,2.501195267802514,0.017599839649529152,0.08834557459170328,0.654812419483828,0.6054936603067843,50.333333333333336,0.2926356589147287,"12,23,13","3,1,2"
