,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig
(Intercept),0.838,0.677,0.999,0.082,28.338,10.226,0.0,***
roi_typesocial,-0.392,-0.53,-0.254,0.071,121.832,-5.556,0.0,***
