subject,axis,mask1_name,mask2_name,mask1_measure_label,mask2_measure_label,hemi1,hemi2,hemi_label,corr,corr1,pvalue1
sub-06,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.667856377041755,0.667856377041755,0.0
sub-06,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.6472140565938218,0.6472140565938218,0.0
sub-06,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.6472140565938218,0.6472140565938218,0.0
sub-07,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.43154039001845185,0.43154039001845185,1.8215648269918036e-185
sub-07,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.43154039001845185,0.43154039001845185,1.8215648269918036e-185
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,-0.18677859776060918,-0.18677859776060918,1.794022836337603e-33
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,-0.14337774861682387,-0.14337774861682387,2.9419626341421565e-20
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.03429464142889863,0.03429464142889863,0.028175599243617504
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.30183021700385054,0.30183021700385054,4.9663994976813e-87
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,-0.270587376806379,-0.270587376806379,1.163536079026205e-69
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.15081907466572164,0.15081907466572164,2.8697746799606255e-22
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.18743763665733496,0.18743763665733496,1.0595381060115971e-33
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5340523722120241,0.5340523722120241,7.394458152280194e-301
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.6736126013025326,0.6736126013025326,0.0
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.6736126013025326,0.6736126013025326,0.0
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.2798290678700756,0.2798290678700756,1.4402529188710487e-74
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.43822277368474954,0.43822277368474954,7.614214892047825e-192
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.34336475998372096,0.34336475998372096,1.0837337911900597e-113
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.6664354311275279,0.6664354311275279,0.0
sub-07,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.4046165144449774,0.4046165144449774,3.532068056398717e-161
sub-07,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.4046165144449774,0.4046165144449774,3.532068056398717e-161
sub-08,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.6446817125183616,0.6446817125183616,0.0
sub-08,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.6446817125183616,0.6446817125183616,0.0
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.16950516231806936,0.16950516231806936,8.835703205314638e-28
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.3125987412636834,0.3125987412636834,1.5331344900109542e-93
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,-0.016257676180271286,-0.016257676180271286,0.298227277732827
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.31235530483123625,0.31235530483123625,2.1667134471756613e-93
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.26135063413325527,0.26135063413325527,6.044849555350468e-65
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.6207290746037766,0.6207290746037766,0.0
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.27716223524636974,0.27716223524636974,3.927625399359989e-73
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5793676196421892,0.5793676196421892,0.0
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.48283448680058894,0.48283448680058894,2.7422525227846178e-238
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.48283448680058894,0.48283448680058894,2.7422525227846178e-238
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.6674709557995475,0.6674709557995475,0.0
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.25538216976443034,0.25538216976443034,5.3611574025373255e-62
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.7301557531831139,0.7301557531831139,0.0
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.6750065742796959,0.6750065742796959,0.0
sub-08,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.48968697801485145,0.48968697801485145,4.706719469515097e-246
sub-08,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.48968697801485145,0.48968697801485145,4.706719469515097e-246
sub-09,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.7282096874548538,0.7282096874548538,0.0
sub-09,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.7282096874548538,0.7282096874548538,0.0
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.37795211512986354,0.37795211512986354,3.071703082290338e-139
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.2698279265516328,0.2698279265516328,2.8879689745463466e-69
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.15440614673227088,0.15440614673227088,2.8267933237997455e-23
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.213261538811268,0.213261538811268,2.422370424494036e-43
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.40523502036744125,0.40523502036744125,1.03451315015924e-161
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.6403475976566927,0.6403475976566927,0.0
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.41019950483518935,0.41019950483518935,4.9320873801093264e-166
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5712618202371815,0.5712618202371815,0.0
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.3908275724493742,0.3908275724493742,1.4026965497376196e-149
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.3908275724493742,0.3908275724493742,1.4026965497376196e-149
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.3741422125946588,0.3741422125946588,2.8752912903021353e-136
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.5606419348105077,0.5606419348105077,0.0
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.39722947781257745,0.39722947781257745,6.767870870794378e-155
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5764531017349508,0.5764531017349508,0.0
sub-09,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.688538212752944,0.688538212752944,0.0
sub-09,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.688538212752944,0.688538212752944,0.0
sub-10,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.5928147121257566,0.5928147121257566,0.0
sub-10,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.5928147121257566,0.5928147121257566,0.0
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.2665297865682124,0.2665297865682124,1.4467666955044582e-67
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.18167911190501862,0.18167911190501862,9.880149927212061e-32
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.29868871226350985,0.29868871226350985,3.4984988659908834e-85
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.4082256101384686,0.4082256101384686,2.6312056658924334e-164
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.32570197776661236,0.32570197776661236,7.739386478939133e-102
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.284293439235382,0.284293439235382,5.237996071220086e-77
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.24289660498511528,0.24289660498511528,4.445014409245705e-56
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.66841549787406,0.66841549787406,0.0
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.2803516952900795,0.2803516952900795,7.502531716799455e-75
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.2803516952900795,0.2803516952900795,7.502531716799455e-75
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.3421205863258378,0.3421205863258378,7.863423081976078e-113
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.37385761884525504,0.37385761884525504,4.775667691743667e-136
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.5431073878639961,0.5431073878639961,0.0
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.5841996902603644,0.5841996902603644,0.0
sub-10,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.4128483106030973,0.4128483106030973,2.2750582185092435e-168
sub-10,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.4128483106030973,0.4128483106030973,2.2750582185092435e-168
sub-14,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.8229017651295865,0.8229017651295865,0.0
sub-14,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.8229017651295865,0.8229017651295865,0.0
