subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-08,social,STS,,cca,0.31622776601683794,0.00031622776601683794,2
sub-08,valence,MT,,cca,1.0,0.03162277660168379,2
sub-08,valence,STS,,cca,1e-05,0.0001,2
sub-08,arousal,MT,,cca,1e-05,3.1622776601683795e-05,2
sub-08,arousal,STS,,cca,1.0,0.1,2
sub-08,pitch,MT,,cca,1.0,0.00031622776601683794,2
sub-08,pitch,STS,,cca,1.0,0.00031622776601683794,2
sub-08,amplitude,MT,,cca,1e-05,0.1,2
sub-08,amplitude,STS,,cca,1.0,0.00031622776601683794,2
sub-08,music,MT,,cca,1e-05,0.31622776601683794,2
sub-08,music,STS,,cca,1e-05,0.31622776601683794,2
sub-08,speaking,MT,,cca,1.0,0.31622776601683794,2
sub-08,speaking,STS,,cca,1e-05,0.0001,2
sub-08,turn_taking,MT,,cca,1.0,0.00031622776601683794,2
sub-08,turn_taking,STS,,cca,1.0,0.00031622776601683794,2
sub-08,mentalization,MT,,cca,0.31622776601683794,0.001,2
sub-08,mentalization,STS,,cca,1e-05,0.0001,2
sub-08,written_text,MT,,cca,1.0,0.0001,2
sub-08,written_text,STS,,cca,1.0,0.1,2
sub-09,pixel,MT,,cca,0.31622776601683794,3.1622776601683795e-05,2
sub-09,pixel,STS,,cca,1e-05,0.0031622776601683794,2
sub-09,hue,MT,,cca,1.0,0.001,2
sub-09,hue,STS,,cca,1e-05,0.1,2
sub-09,face,MT,,cca,1.0,3.1622776601683795e-05,2
sub-09,face,STS,,cca,1.0,0.0031622776601683794,2
sub-09,num_agents,MT,,cca,1.0,0.03162277660168379,2
sub-09,num_agents,STS,,cca,1e-05,0.31622776601683794,2
sub-09,social,MT,,cca,1e-05,0.00031622776601683794,2
sub-09,social,STS,,cca,1.0,0.01,2
sub-09,valence,MT,,cca,1e-05,0.00031622776601683794,2
sub-09,valence,STS,,cca,1e-05,0.0031622776601683794,2
sub-09,arousal,MT,,cca,0.31622776601683794,0.01,2
